id,Public,Usage
0,1,Public
1,0,Public
2,1,Public
3,1,Public
4,1,Public
5,1,Public
6,1,Public
7,1,Public
8,1,Public
9,1,Public
10,1,Public
11,1,Public
12,1,Public
13,0,Public
14,0,Public
15,1,Public
16,1,Public
17,1,Public
18,0,Public
19,0,Public
20,0,Public
21,1,Public
22,1,Public
23,0,Public
24,0,Public
25,1,Public
26,1,Public
27,1,Public
28,1,Public
29,0,Public
30,0,Public
31,1,Public
32,0,Public
33,1,Public
34,1,Public
35,1,Public
36,0,Public
37,0,Public
38,0,Public
39,0,Public
40,1,Public
41,1,Public
42,1,Public
43,0,Public
44,0,Public
45,1,Public
46,1,Public
47,0,Public
48,1,Public
49,1,Public
50,0,Public
51,0,Public
52,0,Public
53,0,Public
54,1,Public
55,1,Public
56,1,Public
57,1,Public
58,0,Public
59,1,Public
60,1,Public
61,0,Public
62,0,Public
63,1,Public
64,1,Public
65,1,Public
66,1,Public
67,0,Public
68,0,Public
69,0,Public
70,0,Public
71,0,Public
72,1,Public
73,0,Public
74,1,Public
75,1,Public
76,1,Public
77,1,Public
78,1,Public
79,0,Public
80,0,Public
81,1,Public
82,0,Public
83,0,Public
84,0,Public
85,0,Public
86,0,Public
87,1,Public
88,0,Public
89,0,Public
90,0,Public
91,1,Public
92,1,Public
93,1,Public
94,0,Public
95,1,Public
96,0,Public
97,0,Public
98,0,Public
99,0,Public
100,1,Public
101,0,Public
102,1,Public
103,0,Public
104,0,Public
105,1,Public
106,1,Public
107,0,Public
108,0,Public
109,1,Public
110,0,Public
111,1,Public
112,0,Public
113,0,Public
114,1,Public
115,1,Public
116,0,Public
117,1,Public
118,1,Public
119,0,Public
120,0,Public
121,0,Public
122,1,Public
123,0,Public
124,1,Public
125,1,Public
126,1,Public
127,1,Public
128,0,Public
129,0,Public
130,1,Public
131,0,Public
132,0,Public
133,0,Public
134,1,Public
135,1,Public
136,1,Public
137,1,Public
138,0,Public
139,1,Public
140,0,Public
141,0,Public
142,0,Public
143,0,Public
144,1,Public
145,1,Public
146,1,Public
147,1,Public
148,1,Public
149,1,Public
150,0,Public
151,1,Public
152,0,Public
153,0,Public
154,1,Public
155,0,Public
156,0,Public
157,1,Public
158,1,Public
159,0,Public
160,1,Public
161,0,Public
162,0,Public
163,0,Public
164,0,Public
165,1,Public
166,1,Public
167,1,Public
168,0,Public
169,1,Public
170,1,Public
171,0,Public
172,0,Public
173,1,Public
174,1,Public
175,1,Public
176,0,Public
177,1,Public
178,1,Public
179,0,Public
180,0,Public
181,1,Public
182,0,Public
183,1,Public
184,1,Public
185,1,Public
186,0,Public
187,0,Public
188,0,Public
189,0,Public
190,1,Public
191,0,Public
192,1,Public
193,1,Public
194,1,Public
195,0,Public
196,1,Public
197,0,Public
198,0,Public
199,0,Public
200,1,Public
201,1,Public
202,0,Public
203,0,Public
204,0,Public
205,1,Public
206,1,Public
207,0,Public
208,0,Public
209,0,Public
210,1,Public
211,0,Public
212,1,Public
213,1,Public
214,0,Public
215,1,Public
216,1,Public
217,0,Public
218,1,Public
219,0,Public
220,0,Public
221,1,Public
222,1,Public
223,1,Public
224,0,Public
225,1,Public
226,0,Public
227,1,Public
228,0,Public
229,1,Public
230,0,Public
231,0,Public
232,1,Public
233,1,Public
234,1,Public
235,1,Public
236,0,Public
237,1,Public
238,1,Public
239,0,Public
240,0,Public
241,1,Public
242,0,Public
243,0,Public
244,1,Public
245,1,Public
246,1,Public
247,1,Public
248,0,Public
249,0,Public
250,1,Public
251,1,Public
252,0,Public
253,1,Public
254,1,Public
255,0,Public
256,0,Public
257,0,Public
258,0,Public
259,0,Public
260,1,Public
261,1,Public
262,1,Public
263,0,Public
264,0,Public
265,0,Public
266,1,Public
267,0,Public
268,0,Public
269,1,Public
270,1,Public
271,1,Public
272,1,Public
273,0,Public
274,0,Public
275,0,Public
276,0,Public
277,0,Public
278,1,Public
279,1,Public
280,0,Public
281,1,Public
282,0,Public
283,1,Public
284,0,Public
285,0,Public
286,0,Public
287,0,Public
288,1,Public
289,1,Public
290,0,Public
291,0,Public
292,1,Public
293,1,Public
294,0,Public
295,1,Public
296,1,Public
297,0,Public
298,1,Public
299,1,Public
300,0,Public
301,1,Public
302,0,Public
303,1,Public
304,0,Public
305,1,Public
306,1,Public
307,1,Public
308,0,Public
309,0,Public
310,1,Public
311,0,Public
312,1,Public
313,0,Public
314,1,Public
315,0,Public
316,1,Public
317,0,Public
318,1,Public
319,0,Public
320,0,Public
321,0,Public
322,0,Public
323,1,Public
324,0,Public
325,0,Public
326,1,Public
327,1,Public
328,1,Public
329,0,Public
330,0,Public
331,0,Public
332,1,Public
333,1,Public
334,1,Public
335,0,Public
336,0,Public
337,0,Public
338,1,Public
339,1,Public
340,0,Public
341,1,Public
342,1,Public
343,0,Public
344,1,Public
345,1,Public
346,1,Public
347,0,Public
348,1,Public
349,1,Public
350,1,Public
351,0,Public
352,1,Public
353,0,Public
354,0,Public
355,1,Public
356,1,Public
357,0,Public
358,0,Public
359,0,Public
360,1,Public
361,1,Public
362,0,Public
363,0,Public
364,1,Public
365,0,Public
366,0,Public
367,1,Public
368,1,Public
369,1,Public
370,1,Public
371,1,Public
372,0,Public
373,1,Public
374,0,Public
375,1,Public
376,1,Public
377,0,Public
378,1,Public
379,1,Public
380,1,Public
381,1,Public
382,0,Public
383,1,Public
384,0,Public
385,1,Public
386,1,Public
387,1,Public
388,0,Public
389,1,Public
390,1,Public
391,1,Public
392,0,Public
393,0,Public
394,0,Public
395,0,Public
396,1,Public
397,0,Public
398,1,Public
399,0,Public
400,1,Public
401,1,Public
402,1,Public
403,1,Public
404,1,Public
405,1,Public
406,1,Public
407,0,Public
408,1,Public
409,1,Public
410,0,Public
411,0,Public
412,1,Public
413,0,Public
414,0,Public
415,0,Public
416,1,Public
417,1,Public
418,1,Public
419,0,Public
420,0,Public
421,0,Public
422,0,Public
423,1,Public
424,0,Public
425,1,Public
426,1,Public
427,1,Public
428,1,Public
429,1,Public
430,1,Public
431,1,Public
432,1,Public
433,1,Public
434,1,Public
435,1,Public
436,1,Public
437,0,Public
438,0,Public
439,0,Public
440,1,Public
441,1,Public
442,0,Public
443,0,Public
444,0,Public
445,1,Public
446,0,Public
447,1,Public
448,0,Public
449,1,Public
450,1,Public
451,1,Public
452,1,Public
453,0,Public
454,0,Public
455,1,Public
456,0,Public
457,1,Public
458,1,Public
459,1,Public
460,0,Public
461,0,Public
462,0,Public
463,1,Public
464,0,Public
465,1,Public
466,1,Public
467,0,Public
468,0,Public
469,1,Public
470,0,Public
471,1,Public
472,0,Public
473,1,Public
474,0,Public
475,1,Public
476,1,Public
477,1,Public
478,1,Public
479,1,Public
480,1,Public
481,1,Public
482,1,Public
483,0,Public
484,1,Public
485,1,Public
486,0,Public
487,0,Public
488,1,Public
489,0,Public
490,1,Public
491,0,Public
492,0,Public
493,1,Public
494,0,Public
495,0,Public
496,1,Public
497,0,Public
498,0,Public
499,0,Public
500,0,Public
501,0,Public
502,0,Public
503,1,Public
504,0,Public
505,0,Public
506,0,Public
507,1,Public
508,1,Public
509,0,Public
510,1,Public
511,0,Public
512,1,Public
513,1,Public
514,1,Public
515,0,Public
516,1,Public
517,1,Public
518,1,Public
519,0,Public
520,1,Public
521,0,Public
522,1,Public
523,1,Public
524,0,Public
525,1,Public
526,1,Public
527,1,Public
528,1,Public
529,0,Public
530,0,Public
531,0,Public
532,0,Public
533,0,Public
534,0,Public
535,0,Public
536,1,Public
537,1,Public
538,0,Public
539,0,Public
540,1,Public
541,0,Public
542,0,Public
543,1,Public
544,0,Public
545,1,Public
546,1,Public
547,0,Public
548,0,Public
549,1,Public
550,1,Public
551,1,Public
552,1,Public
553,1,Public
554,1,Public
555,1,Public
556,0,Public
557,1,Public
558,1,Public
559,0,Public
560,1,Public
561,0,Public
562,1,Public
563,1,Public
564,0,Public
565,1,Public
566,1,Public
567,1,Public
568,1,Public
569,0,Public
570,1,Public
571,1,Public
572,1,Public
573,1,Public
574,0,Public
575,1,Public
576,0,Public
577,1,Public
578,0,Public
579,0,Public
580,1,Public
581,0,Public
582,1,Public
583,1,Public
584,0,Public
585,0,Public
586,0,Public
587,0,Public
588,0,Public
589,1,Public
590,0,Public
591,1,Public
592,0,Public
593,0,Public
594,1,Public
595,0,Public
596,0,Public
597,0,Public
598,1,Public
599,0,Public
600,0,Public
601,1,Public
602,0,Public
603,1,Public
604,1,Public
605,0,Public
606,1,Public
607,1,Public
608,1,Public
609,1,Public
610,1,Public
611,1,Public
612,1,Public
613,1,Public
614,0,Public
615,0,Public
616,0,Public
617,0,Public
618,1,Public
619,1,Public
620,0,Public
621,1,Public
622,1,Public
623,1,Public
624,1,Public
